lose,lose,,,0,2,0,A+1,0.7,P-1,0.4,P+1,0.2,A-1,-0.5,A+2,0.9,P-2,0.2,P+2,0.4,A-2,-0.1,,,,,,,,,,,,,,,,
win,win,,,0,2,1,A-1,-0.1,P+1,0.3,A+1,0.1,P-1,0.2,A-2,-0.3,P+2,0.5,A+2,0.3,P-2,0.5,,,,,,,,,,,,,,,,
no outcome,lose,,,0,2,1,A+1,0.3,P+1,0.1,A-1,-0.1,P-1,0.2,A+2,0.1,P+2,0.5,A-2,-0.3,P-2,0.4,,,,,,,,,,,,,,,,
win,no outcome,,,1,2,0,P+1,0.5,A+1,0.9,P-1,0.1,A-1,-0.1,P+2,0.2,A+2,0.1,P-2,0.5,A-2,-0.7,,,,,,,,,,,,,,,,
no outcome,no outcome,,,0,2,1,P+1,0.5,P-1,0.2,A+1,0.3,A-1,-0.9,P+2,0.1,P-2,0.3,A+2,0.9,A-2,-0.3,,,,,,,,,,,,,,,,
no outcome,no outcome,,,0,2,1,P+1,0.5,A+1,0.7,A-1,-0.9,P-1,0.3,P+2,0.1,A+2,0.9,A-2,-0.7,P-2,0.2,,,,,,,,,,,,,,,,
win,win,,,0,2,1,P-1,0.3,P+1,0.5,A-1,-0.7,A+1,0.7,P-2,0.5,P+2,0.4,A-2,-0.1,A+2,0.5,,,,,,,,,,,,,,,,
no outcome,no outcome,,,1,2,1,P+1,0.1,A-1,-0.3,A+1,0.3,P-1,0.3,P+2,0.2,A-2,-0.9,A+2,0.5,P-2,0.1,,,,,,,,,,,,,,,,
no outcome,no outcome,,,0,2,1,P+1,0.2,A+1,0.9,A-1,-0.9,P-1,0.3,P+2,0.1,A+2,0.3,A-2,-0.5,P-2,0.1,,,,,,,,,,,,,,,,
win,no outcome,,,1,2,0,P+1,0.5,P-1,0.2,A+1,0.9,A-1,-0.3,P+2,0.1,P-2,0.2,A+2,0.1,A-2,-0.3,,,,,,,,,,,,,,,,
win,win,,,0,2,1,P-1,0.2,A-1,-0.5,P+1,0.1,A+1,0.9,P-2,0.1,A-2,-0.3,P+2,0.3,A+2,0.1,,,,,,,,,,,,,,,,
win,win,,,1,2,1,A+1,0.1,A-1,-0.3,P-1,0.1,P+1,0.3,A+2,0.5,A-2,-0.1,P-2,0.5,P+2,0.4,,,,,,,,,,,,,,,,
lose,no outcome,,,1,2,0,A+1,0.5,P+1,0.1,P-1,0.5,A-1,-0.5,A+2,0.9,P+2,0.4,P-2,0.2,A-2,-0.1,,,,,,,,,,,,,,,,
win,win,,,0,2,1,P-1,0.1,A-1,-0.3,A+1,0.3,P+1,0.1,P-2,0.2,A-2,-0.9,A+2,0.9,P+2,0.2,,,,,,,,,,,,,,,,
win,win,,,0,2,0,A-1,-0.3,P-1,0.5,A+1,0.3,P+1,0.4,A-2,-0.1,P-2,0.1,A+2,0.9,P+2,0.5,,,,,,,,,,,,,,,,
lose,lose,,,0,2,1,P+1,0.1,A+1,0.5,A-1,-0.1,P-1,0.2,P+2,0.3,A+2,0.7,A-2,-0.7,P-2,0.1,,,,,,,,,,,,,,,,
lose,lose,,,1,2,1,P-1,0.2,A-1,-0.9,A+1,0.3,P+1,0.3,P-2,0.4,A-2,-0.3,A+2,0.5,P+2,0.1,,,,,,,,,,,,,,,,
lose,lose,,,0,2,1,P+1,0.4,A-1,-0.9,A+1,0.9,P-1,0.3,P+2,0.1,A-2,-0.5,A+2,0.7,P-2,0.1,,,,,,,,,,,,,,,,
no outcome,win,,,0,2,0,A+1,0.3,A-1,-0.3,P-1,0.5,P+1,0.1,A+2,0.7,A-2,-0.1,P-2,0.1,P+2,0.4,,,,,,,,,,,,,,,,
win,no outcome,,,1,2,1,P+1,0.5,A+1,0.5,P-1,0.5,A-1,-0.3,P+2,0.3,A+2,0.3,P-2,0.2,A-2,-0.1,,,,,,,,,,,,,,,,
win,no outcome,no outcome,win,0,4,0,A-1,-0.5,P+1,0.4,P-1,0.5,A+1,0.3,A-2,-0.5,P+2,0.2,P-2,0.5,A+2,0.3,A-3,-0.9,P+3,0.2,P-3,0.2,A+3,0.7,A-4,-0.3,P+4,0.4,P-4,0.1,A+4,0.7
win,no outcome,no outcome,no outcome,0,4,1,P+1,0.5,P-1,0.3,A-1,-0.3,A+1,0.1,P+2,0.3,P-2,0.1,A-2,-0.7,A+2,0.7,P+3,0.4,P-3,0.5,A-3,-0.5,A+3,0.9,P+4,0.1,P-4,0.2,A-4,-0.1,A+4,0.5
lose,no outcome,no outcome,no outcome,0,4,1,A+1,0.7,A-1,-0.1,P+1,0.3,P-1,0.5,A+2,0.9,A-2,-0.3,P+2,0.1,P-2,0.3,A+3,0.1,A-3,-0.7,P+3,0.4,P-3,0.1,A+4,0.5,A-4,-0.9,P+4,0.5,P-4,0.2
no outcome,no outcome,no outcome,no outcome,1,4,0,A+1,0.3,P-1,0.2,P+1,0.3,A-1,-0.9,A+2,0.3,P-2,0.3,P+2,0.4,A-2,-0.7,A+3,0.7,P-3,0.2,P+3,0.4,A-3,-0.5,A+4,0.7,P-4,0.1,P+4,0.4,A-4,-0.3
lose,no outcome,lose,no outcome,1,4,1,P+1,0.5,A+1,0.3,P-1,0.5,A-1,-0.3,P+2,0.1,A+2,0.7,P-2,0.1,A-2,-0.5,P+3,0.4,A+3,0.9,P-3,0.3,A-3,-0.9,P+4,0.2,A+4,0.1,P-4,0.2,A-4,-0.1
no outcome,lose,no outcome,no outcome,0,4,1,P+1,0.4,A-1,-0.1,A+1,0.1,P-1,0.3,P+2,0.5,A-2,-0.7,A+2,0.7,P-2,0.5,P+3,0.1,A-3,-0.3,A+3,0.3,P-3,0.1,P+4,0.3,A-4,-0.9,A+4,0.9,P-4,0.2
no outcome,no outcome,lose,lose,1,4,0,A+1,0.7,P+1,0.3,A-1,-0.5,P-1,0.2,A+2,0.9,P+2,0.5,A-2,-0.3,P-2,0.1,A+3,0.3,P+3,0.3,A-3,-0.9,P-3,0.5,A+4,0.1,P+4,0.1,A-4,-0.7,P-4,0.4
win,win,win,win,0,4,1,P+1,0.5,A-1,-0.9,P-1,0.2,A+1,0.5,P+2,0.2,A-2,-0.3,P-2,0.3,A+2,0.9,P+3,0.3,A-3,-0.1,P-3,0.5,A+3,0.7,P+4,0.4,A-4,-0.5,P-4,0.1,A+4,0.1
no outcome,no outcome,lose,lose,0,4,1,P+1,0.1,A-1,-0.5,P-1,0.1,A+1,0.7,P+2,0.3,A-2,-0.1,P-2,0.2,A+2,0.1,P+3,0.5,A-3,-0.3,P-3,0.4,A+3,0.5,P+4,0.4,A-4,-0.7,P-4,0.3,A+4,0.9
lose,no outcome,lose,no outcome,1,4,1,A+1,0.7,P-1,0.5,P+1,0.3,A-1,-0.1,A+2,0.1,P-2,0.1,P+2,0.4,A-2,-0.7,A+3,0.9,P-3,0.4,P+3,0.1,A-3,-0.3,A+4,0.5,P-4,0.2,P+4,0.5,A-4,-0.9
no outcome,win,win,no outcome,0,4,1,P+1,0.1,A+1,0.3,P-1,0.1,A-1,-0.5,P+2,0.5,A+2,0.5,P-2,0.5,A-2,-0.7,P+3,0.3,A+3,0.1,P-3,0.4,A-3,-0.3,P+4,0.2,A+4,0.9,P-4,0.3,A-4,-0.9
